Waypoint,x,y
1,0,0.1
2,0.001,0.101121903
3,0.002,0.102243242
4,0.003,0.10336345
5,0.004,0.104481965
6,0.005,0.105598224
7,0.006,0.106711663
8,0.007,0.107821723
9,0.008,0.108927845
10,0.009,0.110029471
11,0.01,0.111126047
12,0.011,0.11221702
13,0.012,0.113301842
14,0.013,0.114379966
15,0.014,0.11545085
16,0.015,0.116513953
17,0.016,0.117568741
18,0.017,0.118614683
19,0.018,0.119651252
20,0.019,0.120677925
21,0.02,0.121694187
22,0.021,0.122699525
23,0.022,0.123693433
24,0.023,0.124675411
25,0.024,0.125644964
26,0.025,0.126601604
27,0.026,0.127544849
28,0.027,0.128474225
29,0.028,0.129389263
30,0.029,0.130289502
31,0.03,0.13117449
32,0.031,0.132043781
33,0.032,0.132896936
34,0.033,0.133733527
35,0.034,0.134553132
36,0.035,0.135355339
37,0.036,0.136139743
38,0.037,0.13690595
39,0.038,0.137653573
40,0.039,0.138382237
41,0.04,0.139091574
42,0.041,0.139781227
43,0.042,0.14045085
44,0.043,0.141100104
45,0.044,0.141728663
46,0.045,0.14233621
47,0.046,0.14292244
48,0.047,0.143487057
49,0.048,0.144029777
50,0.049,0.144550326
51,0.05,0.145048443
52,0.051,0.145523877
53,0.052,0.145976389
54,0.053,0.146405749
55,0.054,0.146811744
56,0.055,0.147194167
57,0.056,0.147552826
58,0.057,0.147887541
59,0.058,0.148198143
60,0.059,0.148484476
61,0.06,0.148746396
62,0.061,0.14898377
63,0.062,0.149196479
64,0.063,0.149384417
65,0.064,0.149547488
66,0.065,0.14968561
67,0.066,0.149798715
68,0.067,0.149886744
69,0.068,0.149949653
70,0.069,0.149987412
71,0.07,0.15
72,0.071,0.149987412
73,0.072,0.149949653
74,0.073,0.149886744
75,0.074,0.149798715
76,0.075,0.14968561
77,0.076,0.149547488
78,0.077,0.149384417
79,0.078,0.149196479
80,0.079,0.14898377
81,0.08,0.148746396
82,0.081,0.148484476
83,0.082,0.148198143
84,0.083,0.147887541
85,0.084,0.147552826
86,0.085,0.147194167
87,0.086,0.146811744
88,0.087,0.146405749
89,0.088,0.145976389
90,0.089,0.145523877
91,0.09,0.145048443
92,0.091,0.144550326
93,0.092,0.144029777
94,0.093,0.143487057
95,0.094,0.14292244
96,0.095,0.14233621
97,0.096,0.141728663
98,0.097,0.141100104
99,0.098,0.14045085
100,0.099,0.139781227
101,0.1,0.139091574
102,0.101,0.138382237
103,0.102,0.137653573
104,0.103,0.13690595
105,0.104,0.136139743
106,0.105,0.135355339
107,0.106,0.134553132
108,0.107,0.133733527
109,0.108,0.132896936
110,0.109,0.132043781
111,0.11,0.13117449
112,0.111,0.130289502
113,0.112,0.129389263
114,0.113,0.128474225
115,0.114,0.127544849
116,0.115,0.126601604
117,0.116,0.125644964
118,0.117,0.124675411
119,0.118,0.123693433
120,0.119,0.122699525
121,0.12,0.121694187
122,0.121,0.120677925
123,0.122,0.119651252
124,0.123,0.118614683
125,0.124,0.117568741
126,0.125,0.116513953
127,0.126,0.11545085
128,0.127,0.114379966
129,0.128,0.113301842
130,0.129,0.11221702
131,0.13,0.111126047
132,0.131,0.110029471
133,0.132,0.108927845
134,0.133,0.107821723
135,0.134,0.106711663
136,0.135,0.105598224
137,0.136,0.104481965
138,0.137,0.10336345
139,0.138,0.102243242
140,0.139,0.101121903
141,0.14,0.1
142,0.141,0.098878097
143,0.142,0.097756758
144,0.143,0.09663655
145,0.144,0.095518035
146,0.145,0.094401776
147,0.146,0.093288337
148,0.147,0.092178277
149,0.148,0.091072155
150,0.149,0.089970529
151,0.15,0.088873953
152,0.151,0.08778298
153,0.152,0.086698158
154,0.153,0.085620034
155,0.154,0.08454915
156,0.155,0.083486047
157,0.156,0.082431259
158,0.157,0.081385317
159,0.158,0.080348748
160,0.159,0.079322075
161,0.16,0.078305813
162,0.161,0.077300475
163,0.162,0.076306567
164,0.163,0.075324589
165,0.164,0.074355036
166,0.165,0.073398396
167,0.166,0.072455151
168,0.167,0.071525775
169,0.168,0.070610737
170,0.169,0.069710498
171,0.17,0.06882551
172,0.171,0.067956219
173,0.172,0.067103064
174,0.173,0.066266473
175,0.174,0.065446868
176,0.175,0.064644661
177,0.176,0.063860257
178,0.177,0.06309405
179,0.178,0.062346427
180,0.179,0.061617763
181,0.18,0.060908426
182,0.181,0.060218773
183,0.182,0.05954915
184,0.183,0.058899896
185,0.184,0.058271337
186,0.185,0.05766379
187,0.186,0.05707756
188,0.187,0.056512943
189,0.188,0.055970223
190,0.189,0.055449674
191,0.19,0.054951557
192,0.191,0.054476123
193,0.192,0.054023611
194,0.193,0.053594251
195,0.194,0.053188256
196,0.195,0.052805833
197,0.196,0.052447174
198,0.197,0.052112459
199,0.198,0.051801857
200,0.199,0.051515524
201,0.2,0.051253604
202,0.201,0.05101623
203,0.202,0.050803521
204,0.203,0.050615583
205,0.204,0.050452512
206,0.205,0.05031439
207,0.206,0.050201285
208,0.207,0.050113256
209,0.208,0.050050347
210,0.209,0.050012588
211,0.21,0.05
212,0.211,0.050012588
213,0.212,0.050050347
214,0.213,0.050113256
215,0.214,0.050201285
216,0.215,0.05031439
217,0.216,0.050452512
218,0.217,0.050615583
219,0.218,0.050803521
220,0.219,0.05101623
221,0.22,0.051253604
222,0.221,0.051515524
223,0.222,0.051801857
224,0.223,0.052112459
225,0.224,0.052447174
226,0.225,0.052805833
227,0.226,0.053188256
228,0.227,0.053594251
229,0.228,0.054023611
230,0.229,0.054476123
231,0.23,0.054951557
232,0.231,0.055449674
233,0.232,0.055970223
234,0.233,0.056512943
235,0.234,0.05707756
236,0.235,0.05766379
237,0.236,0.058271337
238,0.237,0.058899896
239,0.238,0.05954915
240,0.239,0.060218773
241,0.24,0.060908426
242,0.241,0.061617763
243,0.242,0.062346427
244,0.243,0.06309405
245,0.244,0.063860257
246,0.245,0.064644661
247,0.246,0.065446868
248,0.247,0.066266473
249,0.248,0.067103064
250,0.249,0.067956219
251,0.25,0.06882551
252,0.251,0.069710498
253,0.252,0.070610737
254,0.253,0.071525775
255,0.254,0.072455151
256,0.255,0.073398396
257,0.256,0.074355036
258,0.257,0.075324589
259,0.258,0.076306567
260,0.259,0.077300475
261,0.26,0.078305813
262,0.261,0.079322075
263,0.262,0.080348748
264,0.263,0.081385317
265,0.264,0.082431259
266,0.265,0.083486047
267,0.266,0.08454915
268,0.267,0.085620034
269,0.268,0.086698158
270,0.269,0.08778298
271,0.27,0.088873953
272,0.271,0.089970529
273,0.272,0.091072155
274,0.273,0.092178277
275,0.274,0.093288337
276,0.275,0.094401776
277,0.276,0.095518035
278,0.277,0.09663655
279,0.278,0.097756758
280,0.279,0.098878097
281,0.28,0.1
282,0.281,0.101121903
283,0.282,0.102243242
284,0.283,0.10336345
285,0.284,0.104481965
286,0.285,0.105598224
287,0.286,0.106711663
288,0.287,0.107821723
289,0.288,0.108927845
290,0.289,0.110029471
291,0.29,0.111126047
292,0.291,0.11221702
293,0.292,0.113301842
294,0.293,0.114379966
295,0.294,0.11545085
